year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1987,1,AIG,C,VZ,PCG,T,BAC,XOM,JPM,IBM,F,CVX,WY,BMY,GE,NEM,MRK,DUK,AEP,PFE,AMD
1987,2,AIG,C,PCG,VZ,T,BAC,XOM,JPM,IBM,F,NEM,WY,BMY,CVX,GE,MRK,AMD,PFE,DUK,AEP
1987,3,AIG,C,VZ,PCG,T,XOM,BAC,JPM,IBM,F,NEM,WY,CVX,BMY,GE,MRK,AMD,PFE,DUK,AEP
1987,4,AIG,C,VZ,PCG,T,XOM,BAC,JPM,IBM,F,NEM,WY,CVX,BMY,GE,MRK,AMD,BKR,PFE,DUK
1987,5,AIG,C,VZ,PCG,T,XOM,BAC,JPM,IBM,F,NEM,CVX,WY,BMY,GE,BKR,MRK,AMD,OXY,SLB
1987,6,AIG,C,VZ,T,PCG,XOM,BAC,JPM,IBM,F,NEM,CVX,BKR,WY,BMY,GE,MRK,SLB,PFE,OXY
1987,7,AIG,C,VZ,XOM,T,PCG,BAC,NEM,JPM,F,IBM,CVX,BKR,GE,MRK,WY,BMY,SLB,PFE,OXY
1987,8,AIG,C,VZ,XOM,NEM,PCG,BAC,T,F,JPM,IBM,MRK,GE,WY,CVX,BKR,BMY,AMD,SLB,MO
1987,9,AIG,C,VZ,T,NEM,XOM,PCG,BAC,JPM,F,IBM,MRK,GE,BKR,WY,BMY,CVX,AMD,SLB,MO
1987,10,AIG,VZ,T,XOM,C,PCG,BAC,NEM,F,IBM,JPM,MRK,BMY,GE,CVX,WY,BKR,DUK,AEP,MO
1987,11,AIG,VZ,T,PCG,XOM,C,NEM,BAC,F,JPM,IBM,MRK,BMY,GE,WY,CVX,DUK,AEP,MO,PG
1987,12,AIG,VZ,T,XOM,PCG,C,BAC,NEM,F,IBM,MRK,JPM,BMY,GE,WY,CVX,DUK,AEP,BKR,PG
