year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2000,1,AIG,C,MSFT,GE,CSCO,T,VZ,INTC,PFE,BAC,XOM,MRK,JPM,WMT,KO,BMY,PG,F,MS,JNJ
2000,2,AIG,C,MSFT,CSCO,INTC,T,GE,VZ,PFE,BAC,XOM,JPM,WMT,MRK,MS,KO,PG,ORCL,BMY,IBM
2000,3,AIG,C,MSFT,CSCO,INTC,GE,VZ,T,BAC,PFE,XOM,JPM,WMT,MRK,MS,BMY,ORCL,IBM,KO,F
2000,4,AIG,C,GE,CSCO,MSFT,INTC,PFE,T,VZ,BAC,XOM,MRK,WMT,JPM,MS,F,ORCL,JNJ,KO,BMY
2000,5,AIG,C,INTC,GE,CSCO,PFE,MSFT,T,BAC,VZ,XOM,MRK,WMT,JPM,MS,KO,ORCL,F,JNJ,BMY
2000,6,AIG,C,MSFT,INTC,GE,PFE,CSCO,T,VZ,MRK,XOM,BAC,WMT,MS,JPM,KO,JNJ,ORCL,BMY,MU
2000,7,AIG,C,GE,INTC,MSFT,CSCO,PFE,T,BAC,VZ,XOM,MRK,MS,JPM,WMT,KO,JNJ,F,ORCL,BMY
2000,8,AIG,C,INTC,GE,CSCO,MSFT,T,PFE,BAC,XOM,MS,MRK,VZ,JPM,WMT,ORCL,IBM,KO,JNJ,BMY
2000,9,AIG,C,GE,T,PFE,CSCO,MSFT,BAC,XOM,VZ,MRK,INTC,MS,JPM,WMT,KO,JNJ,BMY,ORCL,IBM
2000,10,AIG,C,T,GE,MSFT,PFE,MRK,VZ,CSCO,XOM,INTC,BAC,KO,JPM,MS,WMT,BMY,JNJ,F,IBM
2000,11,AIG,C,T,GE,PFE,MRK,VZ,MSFT,XOM,CSCO,BAC,INTC,WMT,KO,BMY,JNJ,JPM,MS,F,PG
2000,12,AIG,C,T,GE,PFE,MRK,XOM,VZ,BAC,MSFT,CSCO,BMY,WMT,KO,JPM,MS,INTC,JNJ,WFC,PG
