year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2024,1,MSFT,AAPL,AMZN,NVDA,META,GOOGL,TSLA,LLY,BRK-B,JPM,UNH,XOM,WMT,V,MA,JNJ,PG,HD,MRK,ORCL
2024,2,MSFT,AAPL,NVDA,AMZN,META,GOOGL,LLY,TSLA,BRK-B,JPM,XOM,WMT,UNH,V,MA,JNJ,HD,PG,COST,AMD
2024,3,MSFT,AAPL,NVDA,AMZN,META,GOOGL,LLY,JPM,TSLA,BRK-B,XOM,WMT,UNH,MA,V,JNJ,PG,HD,ORCL,MRK
2024,4,MSFT,AAPL,NVDA,AMZN,GOOGL,META,LLY,TSLA,JPM,BRK-B,XOM,WMT,UNH,V,MA,PG,JNJ,HD,MRK,COST
2024,5,MSFT,AAPL,NVDA,AMZN,META,GOOGL,LLY,JPM,TSLA,BRK-B,WMT,XOM,UNH,V,MA,PG,COST,JNJ,HD,ORCL
2024,6,MSFT,AAPL,NVDA,AMZN,META,GOOGL,LLY,TSLA,JPM,WMT,BRK-B,XOM,UNH,V,MA,ORCL,PG,COST,JNJ,HD
2024,7,AAPL,MSFT,NVDA,AMZN,META,GOOGL,LLY,TSLA,JPM,BRK-B,WMT,XOM,UNH,V,MA,PG,ORCL,JNJ,COST,HD
