year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2014,1,XOM,MSFT,AAPL,JNJ,CVX,VZ,WMT,AMZN,PG,T,GOOGL,PFE,KO,JPM,IBM,WFC,BRK-B,META,DIS,GE
2014,2,XOM,AAPL,MSFT,JNJ,CVX,VZ,WMT,AMZN,PG,GOOGL,PFE,T,KO,IBM,JPM,WFC,BRK-B,META,DIS,MRK
2014,3,XOM,MSFT,AAPL,JNJ,CVX,WMT,VZ,T,PG,AMZN,JPM,PFE,IBM,WFC,GOOGL,KO,BRK-B,DIS,SLB,META
2014,4,XOM,AAPL,MSFT,JNJ,CVX,WMT,VZ,PG,T,KO,WFC,IBM,BRK-B,PFE,AMZN,JPM,GOOGL,DIS,SLB,MRK
2014,5,XOM,AAPL,MSFT,JNJ,CVX,VZ,WMT,T,PG,KO,WFC,BRK-B,GOOGL,AMZN,IBM,PFE,JPM,DIS,SLB,GE
2014,6,XOM,AAPL,MSFT,JNJ,CVX,VZ,WMT,T,PG,KO,WFC,GOOGL,AMZN,BRK-B,SLB,IBM,PFE,JPM,DIS,META
2014,7,XOM,AAPL,MSFT,JNJ,CVX,VZ,WMT,T,PG,WFC,KO,GOOGL,IBM,BRK-B,JPM,AMZN,META,DIS,PFE,SLB
2014,8,XOM,AAPL,MSFT,JNJ,CVX,VZ,WMT,PG,T,BRK-B,KO,AMZN,WFC,GOOGL,JPM,IBM,META,DIS,PFE,SLB
2014,9,XOM,AAPL,MSFT,JNJ,CVX,VZ,WMT,PG,T,KO,BRK-B,WFC,GOOGL,META,JPM,AMZN,IBM,DIS,PFE,INTC
2014,10,XOM,AAPL,MSFT,JNJ,CVX,VZ,PG,WMT,T,BRK-B,WFC,KO,JPM,GOOGL,DIS,META,PFE,AMZN,INTC,IBM
2014,11,AAPL,XOM,MSFT,JNJ,WMT,PG,CVX,VZ,BRK-B,KO,T,WFC,JPM,DIS,AMZN,PFE,META,INTC,GOOGL,MRK
2014,12,AAPL,XOM,MSFT,JNJ,WMT,PG,CVX,VZ,BRK-B,WFC,T,KO,JPM,DIS,META,PFE,AMZN,GOOGL,INTC,IBM
