year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2009,1,XOM,JNJ,T,CVX,PG,MSFT,WMT,VZ,PCG,KO,IBM,BRK-B,PFE,JPM,MRK,PEP,C,WFC,GE,CSCO
2009,2,XOM,WMT,T,MSFT,JNJ,PG,VZ,CVX,PCG,KO,IBM,PFE,PEP,BRK-B,CSCO,MRK,SLB,JPM,INTC,PM
2009,3,XOM,MSFT,WMT,T,JNJ,CVX,VZ,PG,PCG,KO,IBM,JPM,PFE,BRK-B,PEP,CSCO,MRK,INTC,AAPL,SLB
2009,4,XOM,MSFT,T,WMT,JNJ,CVX,VZ,PG,PCG,JPM,IBM,KO,BRK-B,CSCO,PFE,SLB,AAPL,PEP,BAC,INTC
2009,5,XOM,MSFT,WMT,JNJ,T,CVX,PG,VZ,KO,JPM,PCG,IBM,BAC,WFC,SLB,PFE,CSCO,BRK-B,AAPL,PEP
2009,6,XOM,MSFT,JNJ,T,WMT,PG,VZ,CVX,KO,PCG,BAC,JPM,IBM,WFC,PFE,PEP,AAPL,BRK-B,SLB,CSCO
2009,7,XOM,MSFT,JNJ,T,WMT,PG,CVX,VZ,BAC,JPM,KO,PCG,IBM,AAPL,CSCO,PFE,BRK-B,WFC,INTC,PEP
2009,8,XOM,MSFT,JNJ,T,WMT,BAC,CVX,PG,VZ,JPM,PCG,KO,IBM,AAPL,WFC,PFE,C,CSCO,BRK-B,INTC
2009,9,XOM,MSFT,JNJ,T,PG,WMT,BAC,CVX,JPM,VZ,KO,PCG,IBM,AAPL,CSCO,WFC,C,PFE,BRK-B,PEP
2009,10,XOM,MSFT,JNJ,CVX,T,PG,WMT,JPM,VZ,KO,BAC,PCG,IBM,AAPL,WFC,CSCO,PFE,SLB,BRK-B,PEP
2009,11,XOM,MSFT,JNJ,PG,T,WMT,CVX,VZ,KO,BAC,JPM,PCG,IBM,AAPL,PFE,CSCO,WFC,SLB,MRK,BRK-B
2009,12,XOM,MSFT,JNJ,T,WMT,PG,CVX,VZ,KO,JPM,BAC,PCG,AAPL,IBM,PFE,CSCO,SLB,WFC,GOOGL,MRK
