year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1981,1,PCG,AIG,XOM,CVX,JPM,WY,HAL,NEM,IBM,BAC,AEP,GE,AMD,BMY,DUK,PFE,MRK,HON,CNP,CMS
1981,2,PCG,AIG,JPM,CVX,XOM,WY,HAL,BAC,NEM,IBM,AEP,GE,BMY,AMD,MRK,PFE,HON,DUK,PG,JNJ
1981,3,PCG,AIG,JPM,NEM,XOM,WY,CVX,HAL,BAC,IBM,AEP,GE,BMY,AMD,DUK,PFE,MRK,HON,PG,JNJ
1981,4,PCG,AIG,JPM,NEM,XOM,CVX,WY,BAC,HAL,IBM,AEP,AMD,GE,BMY,DUK,MRK,PFE,HON,JNJ,PG
1981,5,PCG,AIG,JPM,NEM,XOM,WY,CVX,BAC,IBM,HAL,AEP,AMD,GE,MRK,BMY,DUK,PFE,JNJ,HON,CMS
1981,6,PCG,AIG,JPM,NEM,XOM,CVX,WY,BAC,IBM,HAL,AEP,GE,DUK,MRK,BMY,AMD,PG,HON,CMS,PFE
1981,7,PCG,AIG,JPM,NEM,XOM,CVX,WY,BAC,HAL,IBM,AEP,DUK,GE,MRK,BMY,CNP,HON,AMD,PG,PFE
1981,8,PCG,AIG,JPM,CVX,NEM,XOM,WY,BAC,HAL,IBM,AEP,DUK,GE,BMY,MRK,CNP,PG,PFE,CMS,AMD
1981,9,PCG,AIG,JPM,CVX,NEM,XOM,BAC,WY,IBM,HAL,AEP,DUK,BMY,GE,MRK,PG,CMS,CNP,JNJ,PFE
1981,10,AIG,PCG,JPM,CVX,XOM,NEM,BAC,WY,HAL,IBM,AEP,DUK,BMY,GE,PG,JNJ,CNP,MRK,AMD,PFE
1981,11,AIG,PCG,JPM,CVX,XOM,BAC,WY,NEM,HAL,IBM,AEP,DUK,BMY,GE,PG,PFE,MRK,JNJ,CMS,CNP
1981,12,AIG,PCG,JPM,SLB,CVX,XOM,BAC,WY,NEM,IBM,HAL,OXY,AEP,DUK,BMY,GE,COP,PFE,PG,MRK
