year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1983,1,PCG,AIG,JPM,IBM,BAC,WY,NEM,XOM,SLB,CVX,AMD,GE,AEP,OXY,PG,BMY,DUK,PFE,JNJ,HAL
1983,2,PCG,AIG,JPM,IBM,BAC,WY,XOM,CVX,NEM,SLB,AMD,GE,AEP,PFE,BMY,PG,OXY,DUK,HAL,JNJ
1983,3,PCG,AIG,JPM,BAC,IBM,WY,CVX,XOM,NEM,SLB,AMD,GE,AEP,PG,BMY,PFE,OXY,DUK,HAL,JNJ
1983,4,PCG,AIG,JPM,IBM,BAC,XOM,WY,CVX,NEM,SLB,AMD,GE,AEP,BMY,PFE,PG,OXY,F,DUK,JNJ
1983,5,PCG,AIG,JPM,BAC,IBM,AMD,XOM,WY,NEM,SLB,CVX,GE,OXY,AEP,BMY,PFE,PG,F,DUK,HAL
1983,6,AIG,PCG,JPM,IBM,BAC,AMD,SLB,XOM,WY,CVX,NEM,GE,OXY,PFE,BMY,AEP,F,HAL,PG,DUK
1983,7,PCG,AIG,JPM,IBM,BAC,AMD,XOM,SLB,NEM,CVX,WY,GE,AEP,OXY,F,BMY,PFE,HAL,DUK,PG
1983,8,PCG,AIG,JPM,IBM,BAC,AMD,XOM,SLB,NEM,CVX,WY,GE,OXY,AEP,F,HAL,BMY,PFE,PG,DUK
1983,9,PCG,AIG,IBM,JPM,BAC,AMD,XOM,SLB,CVX,WY,NEM,GE,OXY,BMY,AEP,F,HAL,PFE,PG,DUK
1983,10,PCG,AIG,IBM,JPM,AMD,BAC,XOM,SLB,CVX,WY,NEM,GE,BMY,OXY,F,AEP,DUK,PFE,PG,HAL
1983,11,PCG,AIG,VZ,JPM,AMD,T,IBM,BAC,XOM,WY,SLB,NEM,CVX,GE,OXY,BMY,F,AEP,PG,DUK
1983,12,PCG,AIG,VZ,JPM,AMD,IBM,BAC,T,XOM,SLB,WY,CVX,NEM,GE,OXY,BMY,F,AEP,HAL,DUK
