year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1984,1,PCG,VZ,AIG,JPM,T,BAC,IBM,AMD,XOM,SLB,CVX,WY,NEM,OXY,GE,BMY,AEP,F,DUK,PFE
1984,2,PCG,VZ,JPM,AIG,T,BAC,IBM,AMD,XOM,SLB,NEM,CVX,WY,OXY,GE,BMY,F,AEP,PFE,HAL
1984,3,PCG,VZ,AIG,JPM,T,IBM,BAC,AMD,XOM,SLB,CVX,NEM,WY,OXY,GE,BMY,HAL,F,AEP,DUK
1984,4,PCG,VZ,AIG,JPM,AMD,T,IBM,BAC,XOM,SLB,CVX,NEM,WY,OXY,GE,BMY,F,HAL,AEP,DUK
1984,5,PCG,VZ,AIG,AMD,T,IBM,BAC,JPM,XOM,SLB,CVX,OXY,NEM,WY,GE,BMY,F,AEP,DUK,HAL
1984,6,PCG,AIG,VZ,T,AMD,BAC,IBM,JPM,XOM,CVX,SLB,WY,OXY,GE,NEM,BMY,AEP,F,DUK,PG
1984,7,PCG,VZ,AIG,T,JPM,IBM,AMD,BAC,XOM,CVX,SLB,WY,GE,OXY,BMY,NEM,F,AEP,DUK,PG
1984,8,AIG,PCG,VZ,AMD,T,BAC,IBM,JPM,XOM,SLB,CVX,WY,GE,OXY,NEM,BMY,F,AEP,DUK,PG
1984,9,PCG,AIG,VZ,T,BAC,JPM,IBM,AMD,XOM,CVX,SLB,OXY,WY,GE,NEM,BMY,F,AEP,DUK,PG
1984,10,PCG,AIG,VZ,BAC,T,JPM,IBM,XOM,AMD,CVX,SLB,WY,OXY,GE,BMY,F,NEM,AEP,DUK,PFE
1984,11,PCG,VZ,AIG,BAC,JPM,T,IBM,XOM,AMD,CVX,WY,SLB,OXY,GE,BMY,NEM,AEP,F,DUK,PFE
1984,12,PCG,AIG,VZ,BAC,JPM,T,IBM,XOM,AMD,CVX,WY,SLB,BMY,GE,OXY,AEP,NEM,F,DUK,PFE
