year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1988,1,AIG,VZ,T,PCG,XOM,C,BAC,F,NEM,IBM,BMY,MRK,CVX,JPM,GE,WY,DUK,AEP,BKR,D
1988,2,VZ,AIG,T,C,XOM,PCG,BAC,F,NEM,IBM,JPM,MRK,BMY,WY,CVX,GE,BKR,DUK,AEP,MO
1988,3,VZ,AIG,T,C,XOM,PCG,BAC,NEM,F,IBM,CVX,MRK,JPM,BMY,WY,BKR,GE,DUK,AEP,MO
1988,4,VZ,AIG,XOM,T,BAC,C,PCG,F,NEM,IBM,JPM,CVX,MRK,BMY,WY,GE,BKR,DUK,AEP,SLB
1988,5,VZ,AIG,T,XOM,BAC,PCG,C,NEM,F,JPM,IBM,CVX,MRK,BMY,GE,WY,BKR,DUK,AEP,SLB
1988,6,VZ,AIG,T,XOM,BAC,C,PCG,F,NEM,IBM,JPM,MRK,CVX,WY,BMY,GE,DUK,AEP,BKR,AMD
1988,7,VZ,AIG,XOM,T,BAC,PCG,C,F,NEM,JPM,IBM,MRK,CVX,BMY,GE,WY,DUK,BKR,AEP,MO
1988,8,AIG,VZ,BAC,XOM,T,C,PCG,F,NEM,JPM,IBM,MRK,CVX,BMY,WY,GE,DUK,AEP,BKR,MO
1988,9,AIG,VZ,BAC,T,XOM,C,PCG,F,NEM,JPM,IBM,MRK,BMY,CVX,GE,WY,DUK,AEP,MO,BKR
1988,10,AIG,VZ,T,BAC,XOM,C,PCG,F,NEM,JPM,IBM,MRK,BMY,CVX,GE,WY,DUK,AEP,MO,JNJ
1988,11,AIG,VZ,T,BAC,XOM,PCG,C,F,NEM,JPM,IBM,MRK,BMY,CVX,GE,WY,DUK,AEP,MO,JNJ
1988,12,AIG,VZ,T,BAC,XOM,PCG,F,C,NEM,JPM,IBM,MRK,BMY,CVX,GE,WY,DUK,MO,AEP,BKR
