year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1994,1,AIG,C,T,VZ,BAC,PCG,XOM,NEM,F,GE,KO,MRK,CVX,JPM,WMT,WY,PG,MO,PFE,DIS
1994,2,AIG,C,T,VZ,BAC,PCG,XOM,NEM,F,GE,KO,CVX,WMT,MRK,WY,JPM,PG,MO,DIS,DUK
1994,3,AIG,C,T,VZ,BAC,PCG,XOM,NEM,KO,GE,F,CVX,MRK,WMT,JPM,PG,WY,MO,AMD,DIS
1994,4,AIG,T,C,BAC,VZ,XOM,PCG,NEM,KO,F,GE,CVX,MRK,WMT,JPM,PG,MO,WY,PFE,BMY
1994,5,AIG,T,BAC,C,VZ,XOM,PCG,NEM,KO,GE,F,CVX,JPM,MRK,PG,WY,WMT,PFE,MO,JNJ
1994,6,AIG,T,VZ,C,BAC,XOM,PCG,NEM,KO,F,GE,CVX,JPM,MRK,WMT,PG,MO,WY,PFE,BMY
1994,7,AIG,T,VZ,C,BAC,XOM,PCG,KO,F,NEM,GE,CVX,JPM,MRK,WMT,PG,WY,MO,JNJ,PFE
1994,8,AIG,C,T,BAC,VZ,XOM,PCG,NEM,KO,GE,F,MRK,CVX,JPM,PG,MO,WY,WMT,JNJ,PFE
1994,9,AIG,T,C,VZ,BAC,XOM,PCG,KO,NEM,MRK,GE,F,CVX,PG,MO,JPM,WY,WMT,JNJ,PFE
1994,10,AIG,T,C,VZ,BAC,XOM,PCG,KO,NEM,MRK,GE,F,CVX,PG,JPM,MO,JNJ,PFE,WMT,MSFT
1994,11,AIG,T,C,VZ,BAC,XOM,PCG,KO,MRK,NEM,GE,F,CVX,PG,JPM,MO,PFE,JNJ,WMT,MSFT
1994,12,AIG,T,C,VZ,BAC,XOM,PCG,KO,MRK,GE,NEM,CVX,F,PG,PFE,JPM,JNJ,MO,WMT,MSFT
