year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2012,1,XOM,AAPL,MSFT,CVX,IBM,WMT,T,VZ,JNJ,PG,KO,PM,PFE,INTC,SLB,PCG,JPM,BRK-B,WFC,GE
2012,2,XOM,AAPL,MSFT,CVX,IBM,T,VZ,WMT,PG,JNJ,KO,PM,JPM,PFE,INTC,PCG,SLB,WFC,BRK-B,GE
2012,3,XOM,AAPL,MSFT,CVX,IBM,T,WMT,VZ,KO,JNJ,PG,PM,JPM,PFE,INTC,WFC,PCG,BRK-B,AMZN,GE
2012,4,XOM,AAPL,MSFT,CVX,IBM,T,VZ,KO,WMT,JNJ,PG,PM,INTC,JPM,PFE,AMZN,PCG,WFC,BRK-B,SLB
2012,5,XOM,AAPL,MSFT,T,CVX,WMT,VZ,IBM,KO,JNJ,PG,PM,PFE,PCG,AMZN,INTC,BRK-B,WFC,GE,PEP
2012,6,XOM,AAPL,MSFT,T,CVX,VZ,WMT,IBM,KO,JNJ,PG,PM,PFE,AMZN,PCG,WFC,INTC,BRK-B,GE,JPM
2012,7,XOM,AAPL,MSFT,T,CVX,WMT,VZ,KO,IBM,JNJ,PG,PM,PFE,AMZN,PCG,WFC,BRK-B,INTC,GE,MRK
2012,8,XOM,AAPL,MSFT,CVX,T,WMT,VZ,IBM,JNJ,KO,PG,PM,AMZN,PFE,WFC,PCG,BRK-B,GE,INTC,JPM
2012,9,XOM,AAPL,MSFT,CVX,T,WMT,VZ,IBM,JNJ,KO,PG,PM,PFE,AMZN,GE,WFC,BRK-B,JPM,GOOGL,PCG
2012,10,XOM,AAPL,MSFT,CVX,WMT,T,VZ,IBM,JNJ,PG,KO,PM,PFE,JPM,AMZN,WFC,BRK-B,GE,MRK,PCG
2012,11,XOM,AAPL,MSFT,CVX,WMT,VZ,T,JNJ,IBM,PG,KO,PM,PFE,AMZN,JPM,BRK-B,WFC,GE,PCG,MRK
2012,12,XOM,AAPL,MSFT,CVX,WMT,T,VZ,JNJ,IBM,PG,KO,PFE,AMZN,PM,JPM,BRK-B,WFC,GE,PCG,GOOGL
