year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2006,1,C,AIG,BAC,XOM,MSFT,GE,T,PG,PFE,JNJ,MO,WMT,VZ,JPM,CVX,WFC,MS,PCG,INTC,KO
2006,2,C,AIG,BAC,XOM,MSFT,GE,T,PFE,PG,JNJ,VZ,MO,WMT,JPM,WFC,CVX,PCG,MS,KO,SLB
2006,3,C,AIG,BAC,XOM,MSFT,GE,T,JNJ,PG,PFE,VZ,WMT,MO,JPM,WFC,CVX,PCG,MS,KO,SLB
2006,4,C,AIG,BAC,XOM,GE,MSFT,T,JNJ,PG,PFE,JPM,MO,WMT,VZ,WFC,CVX,SLB,PCG,MS,KO
2006,5,C,AIG,BAC,XOM,GE,MSFT,JNJ,T,WMT,PG,PFE,MO,JPM,VZ,WFC,CVX,PCG,MS,KO,SLB
2006,6,C,AIG,BAC,XOM,MSFT,GE,T,JNJ,PG,WMT,VZ,PFE,MO,JPM,WFC,CVX,PCG,MS,KO,SLB
2006,7,C,AIG,BAC,XOM,MSFT,GE,T,JNJ,PFE,MO,PG,JPM,VZ,WFC,CVX,WMT,PCG,MS,MRK,KO
