year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1976,1,PCG,WY,IBM,AIG,XOM,AEP,BAC,MRO,CVX,DD,PG,F,CMS,GE,EXC,IP,HAL,MRK,JNJ,BMY
1976,2,PCG,WY,IBM,AIG,XOM,BAC,AEP,MRO,DD,CVX,F,PG,IP,CMS,GE,EXC,HAL,MRK,HON,JNJ
1976,3,PCG,WY,IBM,XOM,BAC,AIG,AEP,CVX,MRO,F,DD,PG,CMS,EXC,IP,GE,HAL,MRK,JNJ,BMY
1976,4,PCG,WY,IBM,XOM,AEP,AIG,BAC,CVX,MRO,F,DD,PG,CMS,EXC,GE,IP,HAL,MRK,BMY,JNJ
1976,5,PCG,WY,XOM,IBM,AEP,AIG,BAC,CVX,MRO,F,DD,PG,CMS,IP,HAL,EXC,GE,MRK,BMY,JNJ
1976,6,PCG,WY,IBM,XOM,AEP,AIG,BAC,CVX,MRO,F,PG,HAL,GE,DD,CMS,IP,EXC,MRK,BMY,JNJ
1976,7,PCG,WY,IBM,XOM,AEP,AIG,BAC,CVX,MRO,F,PG,HAL,DD,CMS,GE,EXC,IP,BMY,MRK,CNP
1976,8,PCG,WY,IBM,XOM,AEP,AIG,BAC,CVX,F,PG,HAL,MRO,CMS,DD,EXC,GE,IP,MRK,CNP,BMY
1976,9,PCG,WY,XOM,IBM,AEP,AIG,BAC,CVX,F,PG,HAL,MRO,CMS,EXC,GE,DD,IP,MRK,CNP,JNJ
1976,10,PCG,WY,XOM,IBM,AEP,AIG,BAC,CVX,F,PG,HAL,MRO,CMS,EXC,GE,DD,IP,CNP,MRK,JNJ
1976,11,PCG,WY,IBM,XOM,AEP,AIG,BAC,CVX,F,HAL,PG,MRO,CMS,EXC,CNP,GE,IP,DD,MRK,XEL
1976,12,PCG,WY,IBM,XOM,AEP,BAC,AIG,CVX,F,MRO,PG,HAL,CMS,EXC,GE,DD,CNP,IP,MRK,HON
1977,1,PCG,WY,XOM,IBM,AEP,BAC,AIG,CVX,F,CMS,EXC,PG,MRO,HAL,CNP,GE,DD,HON,IP,XEL
1977,2,PCG,WY,IBM,XOM,AEP,BAC,AIG,CVX,F,MRO,CMS,EXC,CNP,PG,HAL,GE,DD,IP,HON,XEL
1977,3,PCG,WY,IBM,XOM,AEP,BAC,AIG,CVX,F,EXC,CMS,MRO,CNP,HAL,PG,GE,DD,IP,HON,ES
1977,4,PCG,WY,XOM,IBM,AEP,BAC,CVX,AIG,F,EXC,CMS,HAL,MRO,GE,PG,CNP,DD,IP,HON,ES
1977,5,PCG,WY,XOM,IBM,AEP,BAC,AIG,CVX,F,CMS,EXC,HAL,GE,CNP,MRO,PG,HON,DD,IP,ES
1977,6,PCG,WY,XOM,IBM,AEP,AIG,BAC,CVX,F,CMS,EXC,HAL,GE,CNP,PG,MRO,HON,DD,ES,IP
1977,7,PCG,WY,IBM,XOM,AEP,BAC,AIG,CVX,EXC,CMS,F,HAL,CNP,GE,PG,MRO,HON,ES,DD,BMY
1977,8,PCG,WY,IBM,XOM,AEP,AIG,BAC,CVX,CMS,EXC,F,PG,HAL,GE,CNP,MRO,HON,XEL,BMY,ES
1977,9,PCG,WY,IBM,XOM,AEP,AIG,BAC,CVX,F,CMS,EXC,HAL,PG,CNP,GE,HON,BMY,XEL,DD,ES
1977,10,PCG,IBM,XOM,AEP,WY,BAC,AIG,CVX,EXC,CMS,F,HAL,PG,CNP,GE,HON,MRO,BMY,ES,XEL
1977,11,PCG,IBM,WY,AEP,XOM,AIG,BAC,CVX,EXC,CMS,F,HAL,PG,CNP,GE,HON,MRO,BMY,XEL,ETR
1977,12,PCG,IBM,XOM,WY,AEP,AIG,BAC,CVX,F,CMS,EXC,HAL,PG,CNP,GE,HON,MRO,BMY,XEL,JNJ
