year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2011,1,XOM,MSFT,AAPL,CVX,VZ,WMT,T,PG,JNJ,IBM,KO,JPM,SLB,PCG,WFC,BAC,BRK-B,GE,PFE,C
2011,2,XOM,AAPL,MSFT,CVX,VZ,T,JNJ,PG,IBM,KO,WMT,SLB,JPM,PCG,BRK-B,BAC,WFC,GE,PFE,PM
2011,3,XOM,CVX,MSFT,AAPL,T,VZ,PG,KO,IBM,JNJ,WMT,SLB,JPM,PCG,BRK-B,PFE,WFC,GE,BAC,PM
2011,4,XOM,CVX,MSFT,AAPL,T,JNJ,VZ,PG,IBM,WMT,KO,JPM,SLB,PCG,PFE,PM,GE,BRK-B,AMZN,ORCL
2011,5,XOM,AAPL,CVX,MSFT,T,JNJ,PG,VZ,IBM,WMT,KO,JPM,SLB,PFE,PCG,PM,BRK-B,GE,AMZN,PEP
2011,6,XOM,MSFT,CVX,AAPL,T,JNJ,VZ,IBM,PG,KO,WMT,SLB,JPM,PFE,PCG,AMZN,PM,BRK-B,GE,WFC
2011,7,XOM,AAPL,MSFT,CVX,T,IBM,JNJ,VZ,KO,PG,WMT,SLB,AMZN,JPM,PM,PCG,PFE,BRK-B,WFC,INTC
2011,8,XOM,AAPL,MSFT,CVX,JNJ,T,KO,VZ,IBM,PG,WMT,AMZN,PCG,SLB,PM,JPM,PFE,BRK-B,PEP,WFC
2011,9,XOM,AAPL,MSFT,CVX,VZ,T,IBM,JNJ,PG,KO,WMT,AMZN,PCG,PM,PFE,BRK-B,INTC,JPM,PEP,SLB
2011,10,XOM,AAPL,MSFT,CVX,IBM,T,VZ,JNJ,WMT,PG,KO,AMZN,PCG,PM,PFE,INTC,SLB,BRK-B,JPM,ORCL
2011,11,XOM,AAPL,MSFT,CVX,IBM,VZ,T,WMT,JNJ,PG,KO,PM,PFE,SLB,INTC,AMZN,BRK-B,PCG,JPM,GOOGL
2011,12,XOM,AAPL,CVX,MSFT,VZ,T,IBM,WMT,JNJ,PG,KO,PM,PFE,PCG,INTC,BRK-B,SLB,GOOGL,JPM,GE
