year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2020,1,MSFT,AAPL,AMZN,META,GOOGL,JPM,JNJ,V,WMT,BRK-B,PG,MA,XOM,INTC,BAC,DIS,KO,UNH,VZ,HD
2020,2,MSFT,AAPL,AMZN,META,GOOGL,JPM,JNJ,WMT,V,PG,BRK-B,MA,KO,UNH,INTC,VZ,XOM,HD,BAC,DIS
2020,3,MSFT,AMZN,AAPL,META,GOOGL,JNJ,WMT,PG,V,JPM,BRK-B,VZ,INTC,UNH,MA,KO,MRK,HD,DIS,PFE
2020,4,MSFT,AMZN,AAPL,META,GOOGL,JNJ,WMT,V,PG,JPM,UNH,MA,INTC,BRK-B,VZ,HD,PFE,KO,XOM,DIS
2020,5,MSFT,AMZN,AAPL,META,GOOGL,JNJ,WMT,V,UNH,JPM,MA,PG,INTC,HD,BRK-B,VZ,NVDA,DIS,XOM,KO
2020,6,MSFT,AMZN,AAPL,META,GOOGL,JNJ,WMT,V,PG,MA,UNH,JPM,TSLA,INTC,HD,NVDA,BRK-B,VZ,NFLX,DIS
2020,7,AMZN,AAPL,MSFT,META,GOOGL,JNJ,WMT,PG,TSLA,V,MA,UNH,JPM,HD,NVDA,BRK-B,VZ,DIS,NFLX,PFE
2020,8,AAPL,AMZN,MSFT,META,TSLA,GOOGL,WMT,JNJ,NVDA,V,MA,PG,UNH,BRK-B,JPM,HD,CRM,VZ,DIS,NFLX
2020,9,AAPL,AMZN,MSFT,META,TSLA,GOOGL,WMT,JNJ,PG,NVDA,V,MA,UNH,JPM,HD,BRK-B,VZ,CRM,DIS,INTC
2020,10,AAPL,AMZN,MSFT,META,GOOGL,TSLA,WMT,JNJ,PG,NVDA,V,UNH,JPM,MA,BRK-B,HD,VZ,CRM,DIS,KO
2020,11,AAPL,AMZN,MSFT,META,TSLA,GOOGL,WMT,JNJ,JPM,NVDA,V,PG,UNH,MA,BRK-B,DIS,HD,VZ,PFE,BAC
2020,12,AAPL,AMZN,MSFT,TSLA,META,GOOGL,WMT,JNJ,JPM,V,DIS,MA,PG,UNH,NVDA,BRK-B,HD,VZ,PYPL,KO
