year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1980,1,PCG,XOM,AIG,WY,IBM,CVX,BAC,HAL,AEP,GE,HON,F,CMS,CNP,PG,EXC,DD,MRK,PFE,BMY
1980,2,PCG,XOM,CVX,AIG,WY,IBM,BAC,HAL,AEP,HON,GE,PG,CMS,F,CNP,EXC,DD,MRK,PFE,BMY
1980,3,PCG,XOM,AIG,CVX,WY,JPM,IBM,NEM,BAC,HAL,AEP,DUK,GE,CMS,PG,CNP,HON,F,MRK,AMD
1980,4,PCG,AIG,XOM,CVX,JPM,WY,BAC,IBM,NEM,HAL,AEP,DUK,CMS,PG,CNP,GE,EXC,HON,MRK,PFE
1980,5,PCG,XOM,AIG,CVX,JPM,WY,BAC,IBM,NEM,HAL,AEP,DUK,CMS,PG,GE,EXC,HON,AMD,CNP,MRK
1980,6,PCG,AIG,XOM,CVX,JPM,WY,BAC,NEM,IBM,HAL,AEP,CMS,DUK,GE,PG,EXC,AMD,CNP,WELL,HON
1980,7,PCG,AIG,XOM,WY,JPM,CVX,BAC,IBM,NEM,HAL,AEP,AMD,GE,DUK,PG,CMS,BMY,HON,MRK,EXC
1980,8,PCG,AIG,XOM,JPM,WY,CVX,NEM,BAC,IBM,HAL,AEP,AMD,GE,DUK,PG,HON,CMS,BMY,MRK,CNP
1980,9,PCG,AIG,XOM,CVX,JPM,NEM,WY,IBM,HAL,BAC,AEP,AMD,DUK,GE,BMY,HON,MRK,CMS,PG,PFE
1980,10,PCG,XOM,AIG,CVX,JPM,NEM,WY,IBM,HAL,BAC,AEP,AMD,GE,HON,DUK,BMY,CMS,MRK,PG,PFE
1980,11,PCG,CVX,XOM,AIG,HAL,NEM,JPM,WY,IBM,BAC,AMD,AEP,GE,HON,BMY,DUK,MRK,PFE,PG,HES
1980,12,PCG,CVX,XOM,AIG,JPM,HAL,WY,IBM,NEM,BAC,AMD,AEP,GE,DUK,BMY,PFE,MRK,HON,CNP,PG
