year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2019,1,AMZN,MSFT,AAPL,META,XOM,GOOGL,JNJ,JPM,BRK-B,WMT,UNH,BA,PFE,PG,VZ,BAC,V,CVX,KO,INTC
2019,2,AMZN,MSFT,AAPL,META,XOM,GOOGL,JNJ,JPM,BA,BRK-B,WMT,VZ,PG,V,PFE,INTC,BAC,CVX,UNH,MA
2019,3,AMZN,MSFT,AAPL,META,XOM,GOOGL,JNJ,JPM,BRK-B,WMT,VZ,V,PG,BA,INTC,PFE,CVX,UNH,BAC,CSCO
2019,4,AMZN,MSFT,AAPL,META,XOM,GOOGL,JNJ,JPM,BRK-B,WMT,V,PG,DIS,VZ,BAC,BA,MA,CSCO,PFE,INTC
2019,5,AMZN,MSFT,AAPL,META,GOOGL,XOM,JNJ,JPM,WMT,BRK-B,V,PG,DIS,MA,VZ,PFE,UNH,KO,BA,CSCO
2019,6,MSFT,AMZN,AAPL,META,XOM,JNJ,GOOGL,JPM,WMT,BRK-B,V,PG,DIS,MA,VZ,PFE,BAC,CSCO,CVX,UNH
2019,7,MSFT,AMZN,AAPL,META,GOOGL,XOM,JPM,JNJ,WMT,V,PG,BRK-B,DIS,MA,VZ,UNH,BAC,KO,CSCO,CVX
2019,8,MSFT,AMZN,AAPL,META,GOOGL,JPM,JNJ,XOM,WMT,V,PG,BRK-B,MA,DIS,VZ,KO,HD,BA,UNH,CVX
2019,9,MSFT,AMZN,AAPL,META,GOOGL,JPM,JNJ,WMT,XOM,PG,V,BRK-B,VZ,MA,DIS,KO,BA,HD,BAC,INTC
2019,10,MSFT,AAPL,AMZN,META,GOOGL,JPM,JNJ,WMT,XOM,PG,V,BRK-B,MA,VZ,BAC,DIS,INTC,HD,KO,UNH
2019,11,MSFT,AAPL,AMZN,META,GOOGL,JPM,JNJ,WMT,XOM,PG,BRK-B,V,DIS,MA,BAC,UNH,VZ,INTC,KO,BA
2019,12,MSFT,AAPL,AMZN,META,JPM,GOOGL,JNJ,WMT,XOM,BRK-B,V,PG,MA,BAC,UNH,DIS,VZ,INTC,KO,CVX
