year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2003,1,AIG,C,BAC,MSFT,PFE,XOM,VZ,MRK,T,JNJ,WMT,GE,PG,KO,WFC,IBM,INTC,JPM,MO,MS
2003,2,AIG,C,BAC,MSFT,PFE,XOM,VZ,WMT,MRK,JNJ,GE,T,PG,KO,WFC,INTC,IBM,MO,JPM,CVX
2003,3,C,AIG,BAC,MSFT,PFE,XOM,JNJ,WMT,GE,VZ,MRK,T,PG,KO,WFC,INTC,IBM,JPM,MS,CVX
2003,4,AIG,C,BAC,MSFT,PFE,XOM,GE,WMT,VZ,MRK,JNJ,T,PG,KO,JPM,WFC,INTC,IBM,MS,MDT
2003,5,C,AIG,BAC,MSFT,PFE,XOM,GE,VZ,WMT,T,MRK,JNJ,PG,KO,JPM,INTC,WFC,IBM,MS,MO
2003,6,C,AIG,BAC,MSFT,PFE,XOM,VZ,GE,WMT,MRK,T,JNJ,PG,KO,JPM,INTC,WFC,MO,IBM,MS
2003,7,C,AIG,BAC,MSFT,PFE,XOM,GE,WMT,MRK,VZ,T,JNJ,INTC,PG,KO,JPM,WFC,CSCO,MS,IBM
2003,8,C,AIG,BAC,MSFT,XOM,PFE,WMT,GE,VZ,INTC,T,MRK,JNJ,PG,JPM,KO,WFC,MS,CSCO,IBM
2003,9,C,AIG,BAC,MSFT,XOM,PFE,GE,WMT,VZ,MRK,T,INTC,JNJ,PG,JPM,KO,WFC,MS,CSCO,IBM
2003,10,C,AIG,BAC,MSFT,PFE,XOM,WMT,GE,INTC,T,VZ,JNJ,PG,MRK,JPM,KO,WFC,MS,CSCO,MO
2003,11,C,AIG,BAC,MSFT,PFE,XOM,GE,INTC,WMT,T,VZ,JNJ,PG,MRK,JPM,KO,WFC,CSCO,MS,MO
2003,12,C,AIG,BAC,MSFT,PFE,XOM,GE,WMT,T,INTC,VZ,JNJ,PG,MRK,KO,JPM,WFC,CSCO,MS,MO
