year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2017,1,AAPL,MSFT,AMZN,XOM,META,JNJ,JPM,GOOGL,T,BRK-B,PG,VZ,CVX,DIS,WFC,BAC,KO,WMT,PFE,PCG
2017,2,AAPL,MSFT,AMZN,XOM,META,JNJ,JPM,GOOGL,BRK-B,T,PG,VZ,CVX,DIS,WFC,BAC,WMT,PFE,KO,PCG
2017,3,AAPL,MSFT,AMZN,XOM,META,JNJ,JPM,GOOGL,T,BRK-B,PG,DIS,VZ,CVX,WMT,WFC,PFE,BAC,KO,PM
2017,4,AAPL,MSFT,AMZN,XOM,META,JNJ,GOOGL,JPM,BRK-B,T,DIS,PG,WMT,VZ,CVX,KO,WFC,BAC,PFE,PCG
2017,5,AAPL,MSFT,AMZN,XOM,META,JNJ,GOOGL,JPM,BRK-B,WMT,T,PG,DIS,KO,VZ,CVX,PM,PCG,WFC,BAC
2017,6,AAPL,MSFT,AMZN,XOM,META,JNJ,GOOGL,JPM,BRK-B,PG,T,WMT,DIS,KO,CVX,BAC,WFC,VZ,PM,PFE
2017,7,AAPL,MSFT,AMZN,META,XOM,JNJ,GOOGL,JPM,BRK-B,WMT,PG,T,VZ,CVX,DIS,KO,BAC,WFC,PM,PCG
2017,8,AAPL,MSFT,AMZN,META,XOM,JNJ,GOOGL,JPM,BRK-B,PG,WMT,T,VZ,CVX,KO,BAC,DIS,UNH,PM,PCG
2017,9,AAPL,MSFT,AMZN,META,XOM,JNJ,GOOGL,JPM,BRK-B,PG,CVX,T,WMT,VZ,BAC,PFE,KO,WFC,DIS,UNH
2017,10,AAPL,MSFT,AMZN,META,XOM,JNJ,GOOGL,JPM,BRK-B,WMT,BAC,CVX,PG,VZ,INTC,KO,UNH,WFC,PFE,T
2017,11,AAPL,MSFT,AMZN,META,XOM,JNJ,GOOGL,JPM,WMT,BRK-B,CVX,BAC,VZ,PG,UNH,KO,T,PFE,DIS,WFC
2017,12,AAPL,MSFT,AMZN,XOM,GOOGL,BRK-B,BAC,T,ABBV,MO,MMM,ABT,ACN,AMGN,ADBE,AXP,AMT,BDX,ADP,ADI
