year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2004,1,C,AIG,BAC,MSFT,PFE,XOM,GE,WMT,VZ,T,INTC,JNJ,PG,MRK,JPM,KO,CSCO,WFC,MO,MS
2004,2,AIG,C,BAC,PFE,MSFT,XOM,GE,WMT,VZ,T,JNJ,INTC,PG,JPM,MRK,KO,MO,MS,WFC,CSCO
2004,3,C,AIG,BAC,PFE,MSFT,XOM,GE,WMT,VZ,T,PG,JNJ,JPM,INTC,KO,MRK,WFC,CSCO,MO,MS
2004,4,AIG,C,BAC,MSFT,PFE,XOM,GE,WMT,VZ,T,JNJ,PG,MRK,INTC,KO,JPM,WFC,MO,CSCO,CVX
2004,5,AIG,C,BAC,XOM,MSFT,PFE,GE,WMT,JNJ,VZ,T,PG,INTC,MRK,KO,JPM,WFC,CSCO,MS,CVX
2004,6,AIG,C,BAC,MSFT,XOM,PFE,GE,WMT,VZ,JNJ,T,PG,MRK,INTC,KO,JPM,WFC,CSCO,MO,CVX
2004,7,AIG,C,BAC,MSFT,XOM,GE,PFE,VZ,WMT,T,JNJ,PG,MRK,JPM,INTC,WFC,KO,CVX,CSCO,MO
2004,8,AIG,C,BAC,XOM,MSFT,PFE,GE,VZ,WMT,T,JNJ,PG,JPM,MRK,WFC,KO,INTC,CVX,MO,MS
2004,9,AIG,C,BAC,XOM,MSFT,GE,PFE,VZ,T,WMT,JNJ,PG,JPM,WFC,CVX,INTC,KO,MO,MS,MRK
2004,10,C,AIG,BAC,XOM,MSFT,GE,PFE,VZ,WMT,JNJ,T,PG,JPM,WFC,CVX,INTC,KO,PCG,MS,MO
2004,11,C,AIG,BAC,XOM,MSFT,GE,VZ,PFE,JNJ,WMT,T,PG,JPM,WFC,MO,INTC,CVX,KO,MS,IBM
2004,12,C,AIG,BAC,XOM,MSFT,GE,VZ,JNJ,PFE,WMT,T,PG,JPM,WFC,MO,INTC,CVX,MS,KO,PCG
