year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1997,1,AIG,C,BAC,T,VZ,KO,XOM,MRK,MSFT,GE,JPM,INTC,PFE,JNJ,PG,MO,BMY,CVX,PCG,PEP
1997,2,AIG,C,BAC,T,VZ,KO,XOM,MRK,JPM,MSFT,GE,PFE,INTC,MO,PG,JNJ,BMY,CVX,PCG,NEM
1997,3,AIG,C,BAC,T,KO,XOM,VZ,MRK,JPM,MSFT,GE,PFE,INTC,PG,MO,JNJ,CVX,PCG,BMY,F
1997,4,AIG,C,BAC,T,KO,VZ,XOM,MSFT,MRK,GE,JPM,PFE,INTC,PG,JNJ,MO,BMY,PCG,CVX,F
1997,5,AIG,C,BAC,T,KO,XOM,VZ,MSFT,MRK,GE,PFE,JPM,PG,INTC,MO,JNJ,BMY,CVX,PCG,F
1997,6,AIG,C,BAC,T,KO,XOM,VZ,MRK,MSFT,GE,PFE,JPM,PG,BMY,JNJ,INTC,MO,CVX,PCG,F
1997,7,AIG,C,BAC,T,KO,XOM,VZ,MSFT,MRK,GE,JPM,PFE,INTC,PG,MO,BMY,JNJ,CVX,PCG,F
1997,8,AIG,C,BAC,T,XOM,VZ,KO,MSFT,MRK,GE,JPM,PFE,INTC,PG,MO,BMY,CVX,JNJ,F,PCG
1997,9,AIG,C,BAC,T,VZ,XOM,KO,MSFT,MRK,GE,JPM,PFE,INTC,PG,BMY,CVX,MO,JNJ,F,PCG
1997,10,AIG,C,BAC,T,VZ,XOM,PFE,KO,MSFT,GE,JPM,MRK,BMY,INTC,PG,CVX,JNJ,MO,PCG,F
1997,11,C,AIG,BAC,T,VZ,KO,XOM,PFE,MSFT,GE,MRK,JPM,BMY,PG,INTC,JNJ,MO,PCG,CVX,F
1997,12,C,AIG,BAC,T,VZ,KO,XOM,PFE,GE,MRK,MSFT,JPM,PG,BMY,JNJ,PCG,MO,INTC,CVX,F
