year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1998,1,AIG,C,BAC,T,VZ,PFE,MRK,KO,MSFT,GE,XOM,JPM,BMY,PG,INTC,JNJ,PCG,F,MO,CVX
1998,2,AIG,C,BAC,T,VZ,MSFT,PFE,MRK,KO,XOM,GE,JPM,BMY,PG,INTC,JNJ,F,PCG,CVX,MO
1998,3,AIG,C,BAC,T,VZ,PFE,KO,MSFT,MRK,XOM,GE,JPM,PG,BMY,F,JNJ,PCG,INTC,CVX,WFC
1998,4,AIG,C,BAC,T,PFE,VZ,XOM,MSFT,KO,GE,MRK,JPM,BMY,F,PG,INTC,JNJ,PCG,CVX,DIS
1998,5,C,AIG,BAC,T,PFE,VZ,KO,XOM,MSFT,GE,MRK,JPM,F,BMY,PG,PCG,JNJ,WMT,INTC,CVX
1998,6,AIG,C,BAC,T,MSFT,PFE,KO,VZ,XOM,MRK,GE,JPM,F,BMY,PG,JNJ,PCG,WMT,INTC,CVX
1998,7,AIG,C,BAC,T,MSFT,PFE,KO,VZ,XOM,GE,MRK,JPM,F,BMY,PG,JNJ,INTC,WMT,PCG,CVX
1998,8,AIG,C,BAC,T,MSFT,PFE,VZ,XOM,MRK,KO,GE,JPM,BMY,F,PG,JNJ,PCG,WMT,INTC,MO
1998,9,AIG,C,T,BAC,VZ,MSFT,PFE,XOM,MRK,GE,KO,F,JNJ,BMY,INTC,PG,PCG,JPM,MO,CVX
1998,10,AIG,C,T,BAC,VZ,MSFT,PFE,MRK,XOM,GE,KO,F,JPM,BMY,PG,JNJ,INTC,WMT,MO,PCG
1998,11,AIG,C,T,BAC,MSFT,VZ,PFE,MRK,XOM,GE,KO,BMY,F,INTC,JPM,PG,WMT,MO,JNJ,PCG
1998,12,AIG,C,T,MSFT,BAC,PFE,VZ,GE,MRK,XOM,KO,JPM,BMY,F,INTC,WMT,PG,JNJ,CSCO,MO
