year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2001,1,AIG,C,T,PFE,GE,MSFT,VZ,BAC,MRK,XOM,INTC,JPM,CSCO,WMT,MS,KO,BMY,JNJ,F,IBM
2001,2,AIG,C,T,PFE,GE,MSFT,MRK,BAC,VZ,XOM,WMT,JPM,INTC,BMY,JNJ,KO,F,MS,IBM,CSCO
2001,3,AIG,C,T,PFE,GE,BAC,MSFT,VZ,MRK,XOM,WMT,JPM,BMY,INTC,F,JNJ,KO,MS,IBM,WFC
2001,4,AIG,C,MSFT,GE,PFE,T,BAC,VZ,XOM,MRK,WMT,JPM,INTC,JNJ,F,MS,BMY,KO,IBM,MO
2001,5,AIG,C,MSFT,GE,PFE,T,BAC,VZ,XOM,MRK,JPM,WMT,INTC,JNJ,BMY,MS,KO,IBM,F,CVX
2001,6,AIG,C,GE,MSFT,BAC,PFE,T,VZ,XOM,MRK,WMT,JPM,INTC,JNJ,MS,BMY,IBM,F,KO,MO
2001,7,AIG,C,MSFT,BAC,T,GE,PFE,VZ,XOM,MRK,WMT,INTC,JNJ,JPM,BMY,MS,F,KO,IBM,PG
