year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2005,1,C,AIG,BAC,XOM,MSFT,GE,JNJ,WMT,VZ,T,PFE,PG,MO,JPM,WFC,CVX,INTC,MS,PCG,KO
2005,2,C,AIG,BAC,XOM,GE,MSFT,JNJ,PFE,WMT,VZ,T,PG,MO,CVX,JPM,INTC,WFC,MS,KO,PCG
2005,3,C,AIG,BAC,XOM,GE,MSFT,JNJ,PFE,VZ,WMT,T,PG,MO,CVX,WFC,INTC,JPM,MS,PCG,KO
2005,4,C,AIG,BAC,XOM,GE,MSFT,JNJ,PFE,VZ,PG,T,WMT,MO,WFC,JPM,INTC,CVX,KO,PCG,MRK
2005,5,C,AIG,BAC,XOM,GE,MSFT,JNJ,PFE,VZ,PG,WMT,T,INTC,MO,WFC,JPM,CVX,KO,PCG,MS
2005,6,C,AIG,BAC,XOM,MSFT,GE,JNJ,PFE,VZ,T,WMT,PG,MO,INTC,WFC,CVX,JPM,PCG,KO,MS
2005,7,C,AIG,BAC,XOM,MSFT,GE,JNJ,PFE,WMT,T,PG,VZ,INTC,MO,CVX,WFC,JPM,PCG,KO,MS
2005,8,C,AIG,BAC,XOM,MSFT,GE,JNJ,PFE,PG,T,VZ,WMT,MO,CVX,INTC,WFC,PCG,JPM,KO,MS
2005,9,C,AIG,BAC,XOM,MSFT,GE,JNJ,PG,PFE,T,MO,VZ,CVX,WMT,INTC,PCG,WFC,JPM,KO,MS
2005,10,C,AIG,BAC,XOM,MSFT,GE,JNJ,PG,T,MO,WMT,VZ,PFE,CVX,JPM,WFC,INTC,PCG,KO,MS
2005,11,C,AIG,BAC,XOM,MSFT,GE,JNJ,T,PG,WMT,MO,VZ,INTC,PFE,JPM,CVX,WFC,PCG,MS,KO
2005,12,C,AIG,BAC,XOM,MSFT,GE,JNJ,PG,T,MO,WMT,PFE,VZ,JPM,WFC,INTC,CVX,PCG,MS,KO
