year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2022,1,AAPL,MSFT,AMZN,TSLA,GOOGL,META,NVDA,UNH,JPM,BRK-B,JNJ,WMT,PG,V,HD,BAC,XOM,MA,PFE,DIS
2022,2,AAPL,MSFT,AMZN,TSLA,GOOGL,NVDA,UNH,META,BRK-B,JNJ,WMT,JPM,XOM,PG,HD,BAC,V,MA,CVX,PFE
2022,3,AAPL,MSFT,AMZN,TSLA,GOOGL,NVDA,META,UNH,BRK-B,JNJ,WMT,JPM,XOM,PG,V,MA,BAC,CVX,HD,PFE
2022,4,AAPL,MSFT,AMZN,TSLA,GOOGL,NVDA,META,UNH,JNJ,BRK-B,WMT,XOM,PG,JPM,V,MA,HD,CVX,BAC,PFE
2022,5,AAPL,MSFT,AMZN,TSLA,GOOGL,UNH,NVDA,XOM,JNJ,META,BRK-B,JPM,PG,WMT,V,MA,CVX,PFE,HD,BAC
2022,6,AAPL,MSFT,AMZN,TSLA,GOOGL,UNH,JNJ,XOM,BRK-B,NVDA,META,PG,WMT,JPM,V,PFE,MA,LLY,KO,HD
2022,7,AAPL,MSFT,AMZN,TSLA,GOOGL,UNH,NVDA,XOM,JNJ,BRK-B,WMT,META,PG,V,JPM,MA,HD,CVX,LLY,PFE
2022,8,AAPL,MSFT,AMZN,TSLA,GOOGL,UNH,XOM,JNJ,BRK-B,META,WMT,NVDA,PG,JPM,V,MA,HD,CVX,LLY,KO
2022,9,AAPL,MSFT,AMZN,TSLA,GOOGL,UNH,JNJ,XOM,BRK-B,WMT,NVDA,PG,META,JPM,LLY,V,HD,CVX,MA,PFE
2022,10,AAPL,MSFT,AMZN,TSLA,GOOGL,UNH,XOM,JNJ,BRK-B,WMT,JPM,CVX,NVDA,V,PG,LLY,MA,HD,BAC,PFE
2022,11,AAPL,MSFT,AMZN,TSLA,GOOGL,UNH,XOM,JNJ,NVDA,BRK-B,WMT,JPM,PG,V,LLY,MA,CVX,HD,ABBV,PFE
2022,12,AAPL,MSFT,AMZN,GOOGL,XOM,UNH,JNJ,BRK-B,TSLA,JPM,WMT,NVDA,PG,LLY,CVX,V,MA,HD,PFE,ABBV
