year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2002,1,AIG,C,BAC,MSFT,PFE,T,GE,VZ,XOM,WMT,INTC,MRK,JNJ,PG,KO,IBM,JPM,BMY,MS,MO
2002,2,AIG,C,BAC,MSFT,PFE,T,GE,XOM,VZ,WMT,MRK,JNJ,INTC,KO,PG,BMY,IBM,JPM,MO,MS
2002,3,C,AIG,BAC,MSFT,PFE,T,XOM,GE,VZ,WMT,JNJ,MRK,INTC,KO,PG,JPM,MS,MO,IBM,WFC
2002,4,AIG,C,BAC,PFE,MSFT,XOM,T,GE,VZ,JNJ,WMT,MRK,KO,INTC,PG,JPM,MO,WFC,CVX,MS
2002,5,AIG,C,BAC,MSFT,PFE,T,XOM,GE,VZ,JNJ,WMT,MRK,KO,INTC,PG,JPM,MO,WFC,CVX,MS
2002,6,AIG,C,BAC,MSFT,XOM,PFE,T,GE,WMT,VZ,JNJ,KO,MRK,PG,JPM,WFC,CVX,MO,INTC,MS
2002,7,AIG,C,BAC,MSFT,PFE,GE,XOM,T,WMT,JNJ,VZ,MRK,KO,PG,WFC,MO,INTC,JPM,CVX,MS
2002,8,AIG,C,BAC,MSFT,PFE,XOM,GE,WMT,T,JNJ,MRK,VZ,KO,PG,WFC,MO,JPM,INTC,CVX,MS
2002,9,AIG,C,BAC,MSFT,PFE,XOM,JNJ,WMT,GE,VZ,MRK,T,KO,PG,WFC,MO,CVX,BRK-B,INTC,MS
2002,10,AIG,C,BAC,MSFT,PFE,XOM,T,WMT,VZ,JNJ,GE,MRK,PG,KO,WFC,INTC,MO,IBM,MS,BRK-B
2002,11,AIG,C,BAC,MSFT,PFE,VZ,XOM,T,WMT,MRK,GE,JNJ,PG,KO,INTC,WFC,IBM,MS,JPM,MO
2002,12,AIG,C,BAC,MSFT,PFE,XOM,T,VZ,MRK,WMT,JNJ,GE,PG,KO,WFC,MO,JPM,IBM,INTC,MS
