year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1992,1,AIG,VZ,BAC,PCG,T,C,XOM,MRK,MO,NEM,KO,BMY,WMT,GE,PFE,JNJ,PG,CVX,JPM,PEP
1992,2,AIG,BAC,T,VZ,PCG,C,XOM,MRK,KO,MO,NEM,BMY,WMT,GE,PFE,JPM,PG,JNJ,CVX,F
1992,3,AIG,BAC,VZ,T,PCG,C,XOM,MRK,KO,MO,BMY,WMT,NEM,GE,PFE,JPM,PG,JNJ,CVX,F
1992,4,AIG,BAC,T,VZ,PCG,C,XOM,MRK,KO,MO,NEM,BMY,WMT,JPM,GE,PFE,F,CVX,PG,JNJ
1992,5,AIG,BAC,PCG,T,VZ,XOM,MRK,C,KO,MO,NEM,WMT,BMY,JPM,PFE,GE,F,CVX,PG,JNJ
1992,6,AIG,BAC,PCG,T,VZ,XOM,C,MRK,NEM,KO,MO,JPM,WMT,GE,PFE,BMY,F,CVX,PG,JNJ
1992,7,AIG,VZ,BAC,PCG,T,XOM,C,MRK,MO,NEM,KO,WMT,PFE,BMY,GE,JPM,F,CVX,PG,JNJ
1992,8,AIG,VZ,T,PCG,BAC,XOM,C,MRK,MO,KO,NEM,WMT,PFE,CVX,BMY,GE,JPM,JNJ,F,PG
1992,9,AIG,T,VZ,BAC,PCG,XOM,C,MRK,MO,NEM,KO,WMT,CVX,GE,PFE,JPM,BMY,PG,JNJ,F
1992,10,AIG,T,VZ,BAC,PCG,XOM,C,MRK,KO,MO,NEM,WMT,PFE,GE,BMY,JPM,CVX,PG,JNJ,PEP
1992,11,AIG,BAC,T,VZ,PCG,C,XOM,MRK,MO,WMT,KO,GE,NEM,JPM,PFE,BMY,PG,CVX,F,JNJ
1992,12,AIG,T,BAC,VZ,PCG,C,XOM,MRK,KO,MO,WMT,NEM,GE,JPM,BMY,PFE,CVX,PG,F,JNJ
