year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2016,1,MSFT,AAPL,XOM,AMZN,META,JNJ,GOOGL,VZ,T,PG,KO,WMT,DIS,WFC,BRK-B,JPM,PFE,CVX,GE,PCG
2016,2,AAPL,MSFT,XOM,AMZN,JNJ,META,VZ,GOOGL,T,PG,KO,DIS,BRK-B,WMT,JPM,WFC,PFE,CVX,GE,PCG
2016,3,AAPL,MSFT,XOM,AMZN,JNJ,META,VZ,GOOGL,T,KO,PG,BRK-B,WMT,DIS,CVX,JPM,GE,WFC,PFE,PCG
2016,4,XOM,MSFT,AAPL,AMZN,JNJ,META,VZ,T,GOOGL,KO,BRK-B,PG,DIS,CVX,JPM,WMT,PFE,WFC,GE,PCG
2016,5,XOM,MSFT,AAPL,AMZN,JNJ,META,GOOGL,VZ,T,PG,KO,WMT,JPM,PFE,BRK-B,CVX,DIS,WFC,GE,PCG
2016,6,XOM,MSFT,AMZN,AAPL,JNJ,META,VZ,T,GOOGL,PG,WMT,KO,PFE,CVX,BRK-B,DIS,JPM,PCG,GE,WFC
2016,7,MSFT,AAPL,AMZN,XOM,JNJ,META,GOOGL,T,VZ,PG,PFE,WMT,BRK-B,KO,JPM,CVX,DIS,PCG,GE,WFC
2016,8,MSFT,AAPL,AMZN,XOM,JNJ,META,GOOGL,T,VZ,PG,BRK-B,WMT,JPM,KO,PFE,CVX,DIS,WFC,GE,PCG
2016,9,AMZN,AAPL,MSFT,XOM,JNJ,META,GOOGL,T,VZ,PG,WMT,JPM,BRK-B,CVX,KO,PFE,DIS,INTC,PCG,GE
2016,10,MSFT,AAPL,AMZN,XOM,META,JNJ,GOOGL,PG,VZ,T,JPM,CVX,BRK-B,WMT,KO,DIS,PFE,PCG,WFC,GE
2016,11,MSFT,AAPL,XOM,AMZN,JNJ,META,JPM,GOOGL,VZ,T,BRK-B,CVX,PG,WMT,WFC,DIS,KO,PFE,BAC,GE
2016,12,MSFT,AAPL,XOM,AMZN,JNJ,META,JPM,GOOGL,T,VZ,CVX,BRK-B,PG,DIS,WFC,WMT,KO,PFE,BAC,GE
