year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2023,1,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA,XOM,UNH,BRK-B,JPM,JNJ,WMT,V,MA,PG,META,HD,CVX,LLY,BAC
2023,2,AAPL,MSFT,AMZN,TSLA,NVDA,GOOGL,XOM,UNH,BRK-B,JPM,META,WMT,JNJ,V,MA,PG,CVX,HD,LLY,ABBV
2023,3,AAPL,MSFT,AMZN,NVDA,TSLA,GOOGL,XOM,META,UNH,BRK-B,WMT,JNJ,JPM,V,PG,MA,LLY,CVX,HD,ABBV
2023,4,AAPL,MSFT,AMZN,NVDA,GOOGL,META,TSLA,XOM,UNH,BRK-B,WMT,JNJ,JPM,PG,LLY,V,MA,MRK,CVX,HD
2023,5,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,META,XOM,UNH,BRK-B,WMT,LLY,JPM,JNJ,V,MA,PG,ORCL,HD,MRK
2023,6,AAPL,MSFT,AMZN,NVDA,TSLA,GOOGL,META,XOM,BRK-B,UNH,LLY,WMT,JPM,JNJ,V,MA,PG,ORCL,HD,MRK
2023,7,AAPL,MSFT,AMZN,NVDA,TSLA,GOOGL,META,XOM,UNH,BRK-B,JPM,WMT,LLY,JNJ,V,PG,MA,HD,ORCL,CVX
2023,8,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,META,XOM,LLY,BRK-B,UNH,WMT,JPM,V,JNJ,MA,PG,ORCL,HD,CVX
2023,9,AAPL,MSFT,AMZN,NVDA,TSLA,GOOGL,META,XOM,LLY,UNH,BRK-B,WMT,JPM,JNJ,MA,V,PG,CVX,HD,ORCL
2023,10,AAPL,MSFT,AMZN,NVDA,GOOGL,META,TSLA,LLY,UNH,XOM,BRK-B,WMT,JPM,V,JNJ,PG,MA,ORCL,HD,CVX
2023,11,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,META,LLY,UNH,BRK-B,XOM,JPM,WMT,V,MA,JNJ,PG,ORCL,HD,ADBE
2023,12,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,META,LLY,UNH,JPM,BRK-B,XOM,WMT,V,MA,JNJ,PG,HD,COST,ORCL
