year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010,1,XOM,MSFT,JNJ,PG,WMT,T,CVX,BAC,KO,VZ,JPM,PCG,IBM,AAPL,PFE,BRK-B,WFC,SLB,MRK,CSCO
2010,2,XOM,MSFT,JNJ,PG,WMT,T,CVX,BAC,JPM,KO,VZ,AAPL,IBM,PCG,BRK-B,CSCO,WFC,PFE,MRK,SLB
2010,3,XOM,MSFT,JNJ,PG,WMT,T,BAC,CVX,AAPL,JPM,VZ,KO,IBM,PCG,BRK-B,WFC,CSCO,GE,INTC,PFE
2010,4,XOM,MSFT,JNJ,CVX,PG,WMT,AAPL,T,BAC,JPM,KO,PCG,VZ,IBM,WFC,CSCO,SLB,BRK-B,GE,INTC
2010,5,XOM,MSFT,PG,AAPL,JNJ,WMT,CVX,T,BAC,KO,JPM,IBM,VZ,PCG,WFC,CSCO,BRK-B,INTC,PEP,GE
2010,6,XOM,MSFT,JNJ,PG,AAPL,T,WMT,CVX,VZ,KO,BAC,IBM,PCG,JPM,BRK-B,CSCO,WFC,PEP,MRK,INTC
2010,7,XOM,MSFT,PG,AAPL,T,JNJ,CVX,WMT,VZ,KO,PCG,JPM,IBM,BAC,BRK-B,WFC,CSCO,PEP,INTC,SLB
2010,8,XOM,MSFT,T,PG,CVX,JNJ,WMT,AAPL,VZ,PCG,KO,IBM,JPM,BRK-B,BAC,PEP,PFE,MRK,WFC,PM
2010,9,XOM,MSFT,T,AAPL,CVX,JNJ,WMT,PG,VZ,KO,PCG,IBM,JPM,BRK-B,BAC,PFE,PEP,SLB,MRK,CSCO
2010,10,XOM,MSFT,AAPL,T,JNJ,PG,CVX,WMT,VZ,KO,IBM,PCG,JPM,BRK-B,SLB,PFE,CSCO,PM,GOOGL,PEP
2010,11,XOM,MSFT,AAPL,T,CVX,JNJ,PG,WMT,KO,VZ,IBM,PCG,SLB,JPM,BRK-B,WFC,INTC,AMZN,BAC,PM
2010,12,XOM,MSFT,AAPL,CVX,T,PG,VZ,JNJ,WMT,KO,IBM,PCG,JPM,SLB,WFC,BRK-B,BAC,GE,PFE,AMZN
