year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1986,1,AIG,PCG,VZ,BAC,JPM,T,IBM,XOM,AMD,CVX,WY,NEM,GE,F,BMY,AEP,DUK,SLB,OXY,PFE
1986,2,AIG,PCG,VZ,BAC,JPM,T,IBM,XOM,AMD,WY,F,BMY,GE,CVX,NEM,AEP,DUK,PFE,D,OXY
1986,3,AIG,PCG,VZ,JPM,BAC,T,IBM,XOM,AMD,F,WY,BMY,GE,CVX,NEM,AEP,DUK,PFE,MRK,SLB
1986,4,AIG,VZ,PCG,BAC,JPM,T,IBM,XOM,AMD,F,BMY,CVX,WY,GE,AEP,DUK,PFE,NEM,MRK,OXY
1986,5,AIG,VZ,PCG,BAC,JPM,T,XOM,IBM,AMD,BMY,F,CVX,WY,GE,NEM,DUK,PFE,AEP,MRK,OXY
1986,6,AIG,VZ,PCG,BAC,JPM,T,XOM,IBM,BMY,F,GE,CVX,WY,PFE,AMD,DUK,NEM,AEP,MRK,D
1986,7,AIG,VZ,PCG,T,BAC,JPM,XOM,IBM,BMY,F,CVX,DUK,GE,WY,AEP,PFE,MRK,NEM,D,AMD
1986,8,AIG,VZ,PCG,T,BAC,JPM,XOM,IBM,F,CVX,BMY,WY,GE,DUK,NEM,AEP,AMD,MRK,PFE,D
1986,9,AIG,PCG,VZ,T,BAC,JPM,XOM,IBM,CVX,F,NEM,BMY,WY,GE,DUK,AEP,MRK,PFE,D,SLB
1986,10,C,AIG,PCG,VZ,T,BAC,JPM,XOM,IBM,F,CVX,WY,BMY,NEM,GE,DUK,AEP,MRK,PFE,D
1986,11,C,AIG,PCG,VZ,T,JPM,BAC,XOM,IBM,CVX,F,BMY,WY,NEM,GE,DUK,AEP,MRK,PFE,AMD
1986,12,AIG,C,VZ,PCG,T,BAC,JPM,XOM,IBM,CVX,F,BMY,NEM,GE,WY,MRK,DUK,AEP,PFE,D
