year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1990,1,AIG,VZ,BAC,T,PCG,XOM,NEM,C,F,CVX,MRK,GE,BMY,JPM,BKR,MO,IBM,PG,KO,DUK
1990,2,AIG,BAC,VZ,T,PCG,XOM,NEM,C,F,CVX,MRK,GE,BKR,BMY,JPM,IBM,MO,KO,PG,WY
1990,3,AIG,VZ,T,BAC,PCG,XOM,C,NEM,F,CVX,GE,MRK,BKR,BMY,IBM,MO,JPM,KO,PG,WY
1990,4,AIG,VZ,BAC,T,PCG,XOM,C,NEM,F,CVX,MRK,GE,BMY,BKR,MO,IBM,JPM,PG,KO,SLB
1990,5,AIG,VZ,T,BAC,PCG,XOM,C,NEM,MRK,F,CVX,GE,BMY,BKR,JPM,IBM,MO,PG,KO,SLB
1990,6,AIG,VZ,T,BAC,PCG,C,XOM,NEM,MRK,CVX,F,GE,BMY,MO,BKR,PG,IBM,JPM,KO,WMT
1990,7,AIG,VZ,T,BAC,PCG,XOM,C,NEM,MRK,CVX,BKR,GE,BMY,F,MO,PG,IBM,KO,SLB,JNJ
1990,8,AIG,VZ,T,BAC,XOM,PCG,C,NEM,CVX,MRK,BKR,BMY,GE,MO,F,KO,SLB,PG,IBM,JPM
1990,9,VZ,AIG,T,PCG,XOM,BAC,NEM,CVX,MRK,C,BMY,BKR,MO,GE,IBM,F,PG,KO,SLB,JNJ
1990,10,VZ,AIG,T,PCG,XOM,BAC,NEM,CVX,MRK,C,BMY,MO,BKR,KO,IBM,PG,GE,DUK,SLB,JNJ
1990,11,VZ,AIG,T,PCG,XOM,BAC,C,MRK,NEM,CVX,BMY,MO,BKR,IBM,KO,PG,GE,JNJ,DUK,WMT
1990,12,AIG,VZ,T,PCG,XOM,BAC,NEM,C,MRK,CVX,BMY,MO,BKR,PG,GE,KO,IBM,JNJ,DUK,SLB
