year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1991,1,AIG,VZ,T,PCG,XOM,BAC,C,MRK,NEM,BMY,MO,CVX,GE,IBM,KO,BKR,PG,JNJ,WMT,SLB
1991,2,AIG,VZ,T,PCG,XOM,BAC,C,MRK,MO,BMY,NEM,CVX,GE,IBM,BKR,KO,PG,JNJ,WMT,F
1991,3,AIG,VZ,T,BAC,PCG,XOM,C,MRK,MO,BMY,CVX,NEM,GE,KO,JNJ,BKR,WMT,PG,IBM,PFE
1991,4,AIG,VZ,BAC,T,PCG,XOM,C,MRK,MO,BMY,CVX,NEM,GE,KO,BKR,JNJ,WMT,PFE,PG,F
1991,5,AIG,VZ,BAC,T,PCG,XOM,C,MRK,MO,BMY,NEM,CVX,GE,KO,WMT,BKR,JNJ,F,PFE,PG
1991,6,AIG,VZ,T,BAC,PCG,XOM,MRK,C,BMY,MO,NEM,GE,CVX,KO,WMT,F,PFE,JNJ,PG,BKR
1991,7,AIG,VZ,T,PCG,BAC,XOM,MRK,C,BMY,MO,NEM,CVX,KO,GE,WMT,PFE,JNJ,BKR,SLB,JPM
1991,8,AIG,VZ,BAC,T,PCG,XOM,C,MRK,MO,BMY,KO,WMT,CVX,NEM,GE,PFE,JNJ,BKR,SLB,JPM
1991,9,AIG,VZ,PCG,T,BAC,XOM,C,MRK,MO,BMY,NEM,KO,CVX,WMT,GE,PFE,JNJ,PG,SLB,JPM
1991,10,AIG,VZ,T,PCG,BAC,XOM,C,MRK,BMY,MO,NEM,KO,CVX,PFE,WMT,GE,JNJ,BKR,PG,SLB
1991,11,AIG,VZ,PCG,T,BAC,XOM,MRK,C,MO,BMY,KO,NEM,WMT,CVX,PFE,JNJ,GE,PG,SLB,DUK
1991,12,AIG,VZ,T,PCG,BAC,XOM,MRK,C,MO,KO,BMY,WMT,PFE,NEM,JNJ,GE,CVX,PG,DUK,PEP
