year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2007,1,C,AIG,BAC,XOM,MSFT,T,GE,JNJ,PG,MO,VZ,JPM,PFE,CVX,MS,WMT,PCG,WFC,MRK,CSCO
2007,2,C,AIG,BAC,XOM,MSFT,T,GE,JNJ,PG,MO,VZ,JPM,PFE,WMT,CVX,PCG,MS,WFC,MRK,CSCO
2007,3,C,AIG,BAC,XOM,T,MSFT,GE,MO,PG,VZ,JNJ,JPM,PFE,CVX,MS,PCG,WMT,WFC,MRK,KO
2007,4,C,AIG,BAC,XOM,MSFT,T,GE,VZ,JNJ,JPM,PG,CVX,PFE,MS,PCG,WMT,MRK,WFC,MO,KO
2007,5,C,AIG,BAC,XOM,MSFT,T,GE,VZ,JNJ,CVX,PG,PFE,JPM,MS,WMT,PCG,MRK,WFC,MO,KO
2007,6,C,AIG,BAC,XOM,T,MSFT,GE,VZ,CVX,JNJ,PG,JPM,PFE,WMT,SLB,MO,WFC,PCG,MRK,MS
2007,7,C,AIG,XOM,BAC,T,MSFT,GE,VZ,CVX,PG,JNJ,SLB,PFE,JPM,WMT,MRK,CSCO,WFC,PCG,KO
2007,8,C,AIG,BAC,XOM,T,MSFT,GE,VZ,CVX,PG,JNJ,SLB,PFE,CSCO,JPM,WFC,MRK,MO,WMT,PCG
2007,9,C,AIG,XOM,BAC,T,GE,MSFT,VZ,CVX,PG,JNJ,SLB,JPM,PFE,CSCO,PCG,KO,MRK,WFC,WMT
2007,10,AIG,C,XOM,BAC,MSFT,T,GE,VZ,CVX,PG,JNJ,MRK,SLB,KO,CSCO,PFE,JPM,MO,PCG,WMT
2007,11,AIG,C,XOM,BAC,MSFT,T,GE,PG,VZ,JNJ,CVX,MRK,KO,MO,SLB,JPM,WMT,PFE,BRK-B,PCG
2007,12,AIG,C,XOM,BAC,MSFT,T,GE,PG,VZ,CVX,JNJ,MRK,SLB,KO,MO,WMT,BRK-B,JPM,PFE,INTC
