year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2008,1,AIG,C,XOM,BAC,MSFT,T,GE,PG,JNJ,VZ,CVX,JPM,WMT,MO,KO,PFE,BRK-B,WFC,SLB,MRK
2008,2,AIG,C,XOM,BAC,MSFT,T,GE,CVX,PG,JNJ,VZ,WMT,KO,MO,SLB,PFE,BRK-B,JPM,MRK,IBM
2008,3,AIG,C,XOM,BAC,MSFT,T,GE,PG,CVX,JNJ,VZ,WMT,JPM,KO,SLB,BRK-B,PFE,WFC,IBM,CSCO
2008,4,AIG,C,XOM,BAC,T,MSFT,GE,CVX,JNJ,PG,VZ,WMT,SLB,JPM,KO,BRK-B,PFE,IBM,CSCO,PCG
2008,5,AIG,C,XOM,BAC,T,MSFT,CVX,GE,JNJ,PG,WMT,VZ,SLB,KO,JPM,BRK-B,IBM,CSCO,PFE,PCG
2008,6,XOM,AIG,C,MSFT,CVX,T,BAC,JNJ,WMT,PG,SLB,VZ,GE,KO,IBM,BRK-B,PCG,JPM,PFE,AAPL
2008,7,C,XOM,AIG,BAC,MSFT,T,JNJ,WMT,CVX,PG,GE,SLB,VZ,JPM,KO,IBM,WFC,BRK-B,PFE,PCG
2008,8,C,XOM,AIG,BAC,MSFT,T,JNJ,PG,WMT,CVX,GE,VZ,SLB,KO,JPM,PCG,IBM,WFC,PFE,BRK-B
2008,9,C,XOM,BAC,MSFT,PG,JNJ,WMT,T,CVX,JPM,VZ,BRK-B,WFC,GE,KO,SLB,PCG,PFE,PEP,IBM
2008,10,XOM,C,BAC,MSFT,PG,WMT,JNJ,T,CVX,JPM,VZ,WFC,GE,BRK-B,PCG,PFE,KO,IBM,PEP,MRK
2008,11,XOM,T,PG,WMT,MSFT,C,CVX,JNJ,VZ,BAC,PCG,KO,GE,WFC,BRK-B,PFE,JPM,PEP,IBM,MRK
2008,12,XOM,T,WMT,PG,MSFT,JNJ,CVX,VZ,C,BAC,PCG,WFC,KO,PFE,JPM,GE,BRK-B,PEP,IBM,MRK
